,name,location,2011,2012,2013,2014,2015,2016,2017,2018
138,Vrije Universiteit Amsterdam,Netherlands,58.5,70.2,74.2,74.1,74.9,90.7,89.4,89.1
139,University of Dundee,United Kingdom,79.3,87.1,81.1,84.9,84.4,90.2,92.3,94.5
140,Pierre and Marie Curie University,France,71.5,81.1,80.6,82.3,83.3,82.9,86.2,85.7
141,University of Barcelona,Spain,91.9,71.9,71.4,74.9,79.7,78.9,81.3,83.2
142,Utrecht University,Netherlands,58.8,85.7,82.4,82.0,80.0,88.1,90.7,89.9
143,Wageningen University & Research,Netherlands,53.0,66.3,73.8,74.1,77.5,87.8,92.8,95.2
144,University of Birmingham,United Kingdom,52.1,50.6,56.3,57.5,62.7,82.7,86.8,89.7
145,University of Auckland,New Zealand,71.8,55.7,64.2,67.0,68.4,69.8,75.8,73.8
146,Alexandria University,Egypt,99.8,61.4,,,,14.1,20.6,23.9
147,Uppsala University,Sweden,40.7,53.3,58.2,66.4,70.9,80.9,85.2,84.6
148,Hong Kong Polytechnic University,Hong Kong,62.4,22.2,39.8,48.4,56.5,63.3,69.9,67.7
149,University of Aberdeen,United Kingdom,64.6,67.7,71.5,71.3,74.3,82.6,82.6,87.1
150,Delft University of Technology,Netherlands,29.0,31.2,45.1,47.2,42.6,61.5,67.3,68.5
151,"Birkbeck, University of London",United Kingdom,70.6,80.8,72.8,59.9,60.4,66.3,67.0,62.2
152,Newcastle University,United Kingdom,63.6,72.2,72.1,68.1,70.3,81.5,81.0,80.6
153,University of New South Wales,Australia,51.2,46.8,56.7,58.0,61.1,82.1,81.4,82.8
154,Pompeu Fabra University,Spain,84.7,87.6,77.5,85.2,88.3,90.7,93.1,97.1
155,Indiana University,United States,63.2,73.7,72.5,71.5,73.1,74.8,82.1,81.9
156,Iowa State University,United States,58.2,70.4,74.9,71.5,72.0,61.5,60.6,65.3
157,Georgia Health Sciences University,United States,48.9,63.5,62.0,63.5,,,,
158,University of Delaware,United States,61.3,66.7,76.6,73.6,73.1,70.0,78.1,79.5
159,Erasmus University Rotterdam,Netherlands,65.5,77.4,80.2,81.2,82.3,95.6,95.6,96.7
160,Boston College,United States,78.0,83.5,88.7,96.2,95.9,83.3,79.9,74.1
161,Arizona State University,United States,66.9,80.3,79.9,83.6,73.1,84.6,87.7,87.1
162,National Sun Yat-Sen University,Taiwan,58.9,48.5,48.5,43.2,39.0,25.8,28.9,26.4
