,location,name,nid,rank,rank_order,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,percentage_male,stats_number_students,stats_pc_intl_students,stats_student_staff_ratio,subjects_offered,url,male_students
30,United States,"University of California, San Diego",497,31,31,98.6,21,96.5,37,51.9,420,78.7,79.8,29,62.9,43,54.0,29633,17%,12.8,"Physics & Astronomy,Chemistry,Biological Sciences,Sociology,Other Health,Geology, Environmental, Earth & Marine Sciences,Psychology,Geography,General Engineering,Civil Engineering,Politics & International Studies (incl Development Studies),Economics & Econometrics,Languages, Literature & Linguistics,Art, Performing Arts & Design,History, Philosophy & Theology,Archaeology,Architecture,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Chemical Engineering,Computer Science,Mathematics & Statistics,Education,Business & Management",/world-university-rankings/university-california-san-diego,16001.0
31,Australia,University of Melbourne,501,32,32,90.3,90,70.1,131,92.7,38,77.5,74.2,37,64.9,39,45.0,42116,40%,26.6,"Agriculture & Forestry,General Engineering,Chemical Engineering,Law,Geology, Environmental, Earth & Marine Sciences,Education,Geography,Other Health,Physics & Astronomy,Biological Sciences,Civil Engineering,Chemistry,Computer Science,Mathematics & Statistics,Psychology,Archaeology,Architecture,Economics & Econometrics,Business & Management,Languages, Literature & Linguistics,Sociology,History, Philosophy & Theology,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Accounting & Finance,Communication & Media Studies,Veterinary Science,Electrical & Electronic Engineering",/world-university-rankings/university-melbourne,18952.0
32,United States,Georgia Institute of Technology,488,33,33,94.3,61,60.2,191,75.0,185,77.0,78.9,30,59.7,51,69.0,20773,27%,20.7,"History, Philosophy & Theology,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Chemical Engineering,Business & Management,Sociology,Chemistry,Communication & Media Studies,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Physics & Astronomy,Biological Sciences,Mathematics & Statistics,Psychology,Geology, Environmental, Earth & Marine Sciences,Computer Science,Civil Engineering,General Engineering,Architecture,Other Health",/world-university-rankings/georgia-institute-technology,14333.0
33,Canada,University of British Columbia,486,=34,34,93.4,67,42.6,402,92.2,42,76.2,72.2,40,61.8,46,46.0,51889,29%,18.1,"History, Philosophy & Theology,Communication & Media Studies,Electrical & Electronic Engineering,Economics & Econometrics,General Engineering,Physics & Astronomy,Psychology,Sport Science,Geology, Environmental, Earth & Marine Sciences,Other Health,Civil Engineering,Geography,Mathematics & Statistics,Chemistry,Computer Science,Politics & International Studies (incl Development Studies),Architecture,Art, Performing Arts & Design,Languages, Literature & Linguistics,Law,Accounting & Finance,Education,Archaeology,Biological Sciences,Agriculture & Forestry,Mechanical & Aerospace Engineering,Business & Management,Medicine & Dentistry,Chemical Engineering,Sociology",/world-university-rankings/university-british-columbia,23868.0
34,Germany,LMU Munich,509,=34,35,91.3,84,100.0,7,66.3,256,76.2,72.3,39,65.4,38,39.0,36091,15%,15.6,"Medicine & Dentistry,Physics & Astronomy,Languages, Literature & Linguistics,Mathematics & Statistics,Communication & Media Studies,Other Health,Geology, Environmental, Earth & Marine Sciences,Chemistry,Computer Science,Sociology,Biological Sciences,Geography,Psychology,Politics & International Studies (incl Development Studies),Economics & Econometrics,Archaeology,Law,Education,History, Philosophy & Theology,Art, Performing Arts & Design,Veterinary Science",/world-university-rankings/lmu-munich,14075.0
35,United Kingdom,King’s College London,520,36,36,94.4,59,43.9,374,94.5,27,75.6,71.2,44,59.3,53,38.0,23207,41%,12.0,"Physics & Astronomy,Geography,Sociology,Computer Science,Business & Management,Other Health,Chemistry,Economics & Econometrics,Mathematics & Statistics,Psychology,Electrical & Electronic Engineering,Law,Accounting & Finance,Biological Sciences,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,History, Philosophy & Theology,Art, Performing Arts & Design,Education,Communication & Media Studies,Medicine & Dentistry",/world-university-rankings/kings-college-london,8818.0
36,United States,University of Illinois at Urbana-Champaign,495,37,37,88.9,110,56.0,221,52.8,407,75.4,78.9,31,65.8,37,54.0,43402,23%,22.8,"Electrical & Electronic Engineering,Other Health,Architecture,Veterinary Science,Geography,Mechanical & Aerospace Engineering,Communication & Media Studies,Civil Engineering,Medicine & Dentistry,Sport Science,Chemical Engineering,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Psychology,Agriculture & Forestry,Computer Science,Sociology,Art, Performing Arts & Design,Archaeology,Mathematics & Statistics,Education,Economics & Econometrics,Physics & Astronomy,Languages, Literature & Linguistics,Accounting & Finance,Business & Management,Politics & International Studies (incl Development Studies),General Engineering,Chemistry,Biological Sciences",/world-university-rankings/university-illinois-urbana-champaign,23437.0
37,Switzerland,École Polytechnique Fédérale de Lausanne,510,=38,38,94.2,62,76.0,108,98.7,5,75.3,66.8,54,58.8,54,72.0,9928,55%,11.2,"Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Mathematics & Statistics,General Engineering,Physics & Astronomy,Civil Engineering,Computer Science,Chemistry,Chemical Engineering,Electrical & Electronic Engineering,Architecture,Mechanical & Aerospace Engineering,Communication & Media Studies",/world-university-rankings/ecole-polytechnique-federale-de-lausanne,7148.0
38,Sweden,Karolinska Institute,496,=38,39,95.9,45,71.4,125,70.3,222,75.3,74.4,35,57.0,61,32.0,7424,19%,10.9,"Biological Sciences,Psychology,Other Health,Medicine & Dentistry,Business & Management",/world-university-rankings/karolinska-institute,2375.0
39,Hong Kong,University of Hong Kong,498,40,40,74.2,274,54.0,236,99.5,3,75.1,77.9,33,68.8,32,46.0,18364,42%,18.0,"Medicine & Dentistry,Mechanical & Aerospace Engineering,Accounting & Finance,Communication & Media Studies,Architecture,Business & Management,Education,Other Health,Economics & Econometrics,General Engineering,Biological Sciences,Languages, Literature & Linguistics,Law,Civil Engineering,Computer Science,Mathematics & Statistics,Electrical & Electronic Engineering",/world-university-rankings/university-hong-kong,8447.0
