,location,name,nid,rank,rank_order,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,percentage_male,stats_number_students,stats_pc_intl_students,stats_student_staff_ratio,subjects_offered,url,male_students
915,Argentina,National University of Córdoba,131686,801–1000,916,20.2,862,5.0,1089,30.9,753,15.6–21.4,8.6,988,18.3,935,38.0,87926,1%,22.3,"Other Health,Chemical Engineering,Mechanical & Aerospace Engineering,Chemistry,Agriculture & Forestry,Physics & Astronomy,Electrical & Electronic Engineering,Biological Sciences,Sociology,Business & Management,Geography,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Civil Engineering,Communication & Media Studies,Computer Science,General Engineering,Mathematics & Statistics,Education,Architecture,Economics & Econometrics,Law,Art, Performing Arts & Design,Languages, Literature & Linguistics,Psychology,Accounting & Finance",/world-university-rankings/national-university-cordoba,33411.0
916,Taiwan,National Dong Hwa University,623850,801–1000,917,21.2,845,60.8,186,32.0,742,15.6–21.4,13.7,717,18.3,936,51.0,10174,7%,17.5,"Art, Performing Arts & Design,Computer Science,Physics & Astronomy,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,History, Philosophy & Theology,Chemistry,Languages, Literature & Linguistics,Sociology,Biological Sciences,Communication & Media Studies,Education,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,General Engineering,Law,Agriculture & Forestry,Mathematics & Statistics,Economics & Econometrics,Business & Management,Sport Science,Psychology",/world-university-rankings/national-dong-hwa-university,5188.0
917,Russian Federation,National Research Saratov State University,131671,801–1000,918,13.3,972,36.3,651,29.8,772,15.6–21.4,13.2,735,20.6,781,40.0,10544,4%,11.8,"Biological Sciences,Geography,Mathematics & Statistics,Psychology,Physics & Astronomy,Computer Science,Chemistry,Geology, Environmental, Earth & Marine Sciences,Sociology,History, Philosophy & Theology,Communication & Media Studies,Economics & Econometrics,Law,Art, Performing Arts & Design,Education",/world-university-rankings/national-research-saratov-state-university,4217.0
918,Taiwan,National University of Tainan,624939,801–1000,919,26.1,780,35.3,707,15.5,1072,15.6–21.4,15.8,644,20.6,782,44.0,5996,3%,25.4,"Biological Sciences,Education,Languages, Literature & Linguistics,Art, Performing Arts & Design,Computer Science,Mathematics & Statistics,Politics & International Studies (incl Development Studies),Psychology,Business & Management,Electrical & Electronic Engineering",/world-university-rankings/national-university-tainan,2638.0
919,Taiwan,National Taipei University,957,801–1000,920,27.2,764,33.8,810,22.8,900,15.6–21.4,7.3,1057,18.0,961,45.0,8563,4%,17.1,"Mathematics & Statistics,Business & Management,Economics & Econometrics,Law,Politics & International Studies (incl Development Studies),General Engineering,Sociology,Languages, Literature & Linguistics,History, Philosophy & Theology,Accounting & Finance,Electrical & Electronic Engineering,Art, Performing Arts & Design",/world-university-rankings/national-taipei-university,3853.0
920,Taiwan,National Taipei University of Technology,131306,801–1000,921,19.9,867,89.6,56,20.9,941,15.6–21.4,18.3,570,19.0,885,73.0,10288,5%,16.7,"Languages, Literature & Linguistics,Other Health,Art, Performing Arts & Design,Civil Engineering,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Architecture,Biological Sciences,Chemical Engineering,Business & Management,Computer Science,General Engineering,Mathematics & Statistics,Mechanical & Aerospace Engineering",/world-university-rankings/national-taipei-university-technology,7510.0
921,Taiwan,National Taiwan Ocean University,844,801–1000,922,18.6,886,52.5,253,23.5,885,15.6–21.4,22.3,469,19.1,873,53.0,8609,7%,21.7,"Communication & Media Studies,Chemistry,Archaeology,Business & Management,Architecture,Physics & Astronomy,General Engineering,Agriculture & Forestry,Computer Science,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Chemical Engineering,Art, Performing Arts & Design,Law,Biological Sciences,Economics & Econometrics,Politics & International Studies (incl Development Studies),Civil Engineering,Geography,Electrical & Electronic Engineering,Sport Science,Veterinary Science,Mathematics & Statistics,History, Philosophy & Theology,Education,Sociology,Accounting & Finance,Psychology,Geology, Environmental, Earth & Marine Sciences",/world-university-rankings/national-taiwan-ocean-university,
922,Poland,Nicolaus Copernicus University in Toruń,131506,801–1000,923,20.9,850,32.9,897,24.2,870,15.6–21.4,8.9,967,19.2,867,30.0,21497,2%,9.9,"Other Health,Chemistry,Languages, Literature & Linguistics,Medicine & Dentistry,Mathematics & Statistics",/world-university-rankings/nicolaus-copernicus-university-torun,6449.0
923,Japan,Niigata University,131303,801–1000,924,25.6,793,36.2,660,23.5,886,15.6–21.4,10.7,863,22.7,668,62.0,12522,4%,8.1,"Chemistry,Business & Management,Economics & Econometrics,Psychology,Physics & Astronomy,Biological Sciences,Sport Science,Archaeology,Mathematics & Statistics,Art, Performing Arts & Design,Other Health,Geography,Geology, Environmental, Earth & Marine Sciences,Sociology,General Engineering,Architecture,Law,Politics & International Studies (incl Development Studies),Education,Computer Science,Mechanical & Aerospace Engineering,Communication & Media Studies,Languages, Literature & Linguistics,Civil Engineering,History, Philosophy & Theology,Accounting & Finance,Electrical & Electronic Engineering,Medicine & Dentistry,Agriculture & Forestry,Chemical Engineering",/world-university-rankings/niigata-university,7763.0
924,China,Northeastern University,589202,801–1000,925,9.2,1034,98.9,29,24.3,865,15.6–21.4,22.7,462,21.7,716,44.0,33348,4%,15.1,"Physics & Astronomy,Biological Sciences,Business & Management,Computer Science,General Engineering,Mathematics & Statistics,Other Health,Civil Engineering,Languages, Literature & Linguistics,Education,Mechanical & Aerospace Engineering,Accounting & Finance,Electrical & Electronic Engineering,Communication & Media Studies,Medicine & Dentistry",/world-university-rankings/northeastern-university-0,
925,China,Northwest University,624174,801–1000,926,31.8,715,38.2,561,16.4,1051,15.6–21.4,11.6,821,19.4,855,44.0,22167,2%,15.0,"Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Chemistry,Archaeology,Law,General Engineering,Geography,Computer Science,Art, Performing Arts & Design,Communication & Media Studies,Physics & Astronomy,Economics & Econometrics,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Mathematics & Statistics,Chemical Engineering,Biological Sciences,Business & Management,Sociology,Medicine & Dentistry",/world-university-rankings/northwest-university-0,9753.0
926,China,NorthWest A&F University,623061,801–1000,927,25.8,789,40.0,479,20.5,957,15.6–21.4,11.2,839,20.6,783,44.0,30722,1%,16.7,"Agriculture & Forestry,General Engineering,Civil Engineering,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Veterinary Science,Chemical Engineering,Sociology,Biological Sciences",/world-university-rankings/northwest-af-university,
927,Russian Federation,Novosibirsk State Technical University,587832,801–1000,928,20.6,854,35.8,677,30.4,763,15.6–21.4,10.6,869,22.5,679,55.0,11126,16%,10.7,"Physics & Astronomy,Languages, Literature & Linguistics,Law,Mathematics & Statistics,Accounting & Finance,Business & Management,Psychology,Computer Science,Politics & International Studies (incl Development Studies),Communication & Media Studies,Economics & Econometrics,Sociology,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/novosibirsk-state-technical-university,6119.0
928,United States,Oakland University,131458,801–1000,929,26.0,784,32.8,904,25.2,844,15.6–21.4,12.3,779,19.6,845,41.0,15401,3%,19.0,"Education,Medicine & Dentistry,Computer Science,Communication & Media Studies,Politics & International Studies (incl Development Studies),Accounting & Finance,Mechanical & Aerospace Engineering,Chemistry,General Engineering,History, Philosophy & Theology,Languages, Literature & Linguistics,Economics & Econometrics,Other Health,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Physics & Astronomy,Mathematics & Statistics,Art, Performing Arts & Design,Electrical & Electronic Engineering,Sociology,Business & Management,Psychology,Chemical Engineering",/world-university-rankings/oakland-university,6314.0
929,China,Ocean University of China,131798,801–1000,930,26.1,781,50.9,273,18.8,1001,15.6–21.4,13.6,723,21.0,757,44.0,35410,1%,19.4,"Business & Management,Medicine & Dentistry,Law,Mathematics & Statistics,Accounting & Finance,Education,Biological Sciences,Physics & Astronomy,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Civil Engineering,Languages, Literature & Linguistics,Sociology,Economics & Econometrics,Art, Performing Arts & Design,Computer Science,Other Health",/world-university-rankings/ocean-university-china,
930,Japan,Osaka Prefecture University,131633,801–1000,931,17.9,899,39.2,512,20.5,958,15.6–21.4,12.3,780,23.8,605,65.0,7931,3%,7.4,"Chemical Engineering,Languages, Literature & Linguistics,Biological Sciences,Mathematics & Statistics,Veterinary Science,Physics & Astronomy,Computer Science,Business & Management,Chemistry,Geology, Environmental, Earth & Marine Sciences,Other Health,General Engineering,Mechanical & Aerospace Engineering,Economics & Econometrics",/world-university-rankings/osaka-prefecture-university,5155.0
931,India,Osmania University,587967,801–1000,932,14.5,954,32.0,1019,15.1,1079,15.6–21.4,8.4,994,33.9,292,71.0,12017,3%,15.5,"Communication & Media Studies,Chemistry,Medicine & Dentistry,History, Philosophy & Theology,Veterinary Science,Architecture,Psychology,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Biological Sciences,Computer Science,Education,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Agriculture & Forestry,General Engineering,Other Health,Physics & Astronomy",/world-university-rankings/osmania-university,8532.0
932,Czech Republic,University of Ostrava,623964,801–1000,933,24.1,816,31.9,1036,39.4,620,15.6–21.4,11.4,827,16.0,1063,31.0,10062,7%,21.5,"Biological Sciences,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Art, Performing Arts & Design,History, Philosophy & Theology,Geography,Chemistry,Other Health,Medicine & Dentistry,Sociology,Mathematics & Statistics,Education,Computer Science,Psychology",/world-university-rankings/university-ostrava,3119.0
933,Czech Republic,University of Pardubice,131473,801–1000,934,14.2,957,32.4,956,23.9,879,15.6–21.4,13.4,731,18.4,932,45.0,8487,3%,15.7,"Other Health,Politics & International Studies (incl Development Studies),Chemistry,General Engineering,Accounting & Finance,Mathematics & Statistics,Computer Science,Sociology,Economics & Econometrics,Business & Management,Languages, Literature & Linguistics,History, Philosophy & Theology,Chemical Engineering,Electrical & Electronic Engineering",/world-university-rankings/university-pardubice,3819.0
934,France,Paris Nanterre University,622917,801–1000,935,18.7,884,31.7,1075,48.2,480,15.6–21.4,12.9,749,21.3,736,37.0,33635,16%,35.7,"Mathematics & Statistics,Accounting & Finance,Law,Other Health,Psychology,Politics & International Studies (incl Development Studies),Economics & Econometrics,Education,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Sport Science,Computer Science,Communication & Media Studies,Languages, Literature & Linguistics,Archaeology,Geography,Electrical & Electronic Engineering,Sociology",/world-university-rankings/paris-nanterre-university,12444.0
935,India,Pondicherry University,624612,801–1000,936,11.3,1008,31.8,1055,13.8,1090,15.6–21.4,10.1,898,35.3,259,58.0,6278,1%,17.3,"Archaeology,Law,Psychology,Physics & Astronomy,Communication & Media Studies,Biological Sciences,Sociology,Art, Performing Arts & Design,Computer Science,Economics & Econometrics,Mathematics & Statistics,Electrical & Electronic Engineering,History, Philosophy & Theology,Chemistry,Sport Science,Accounting & Finance,Languages, Literature & Linguistics,Business & Management,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Education",/world-university-rankings/pondicherry-university,3641.0
936,Brazil,Pontifical Catholic University of Paraná,131752,801–1000,937,27.7,760,34.5,755,23.0,897,15.6–21.4,8.6,990,17.1,1001,47.0,26022,1%,23.3,"Sociology,Education,Languages, Literature & Linguistics,Sport Science,History, Philosophy & Theology,Business & Management,Accounting & Finance,Communication & Media Studies,Law,Art, Performing Arts & Design,Architecture,Veterinary Science,Chemical Engineering,Agriculture & Forestry,Civil Engineering,Physics & Astronomy,Electrical & Electronic Engineering,Computer Science,General Engineering,Economics & Econometrics,Psychology,Other Health,Mechanical & Aerospace Engineering,Mathematics & Statistics,Chemistry,Medicine & Dentistry,Biological Sciences",/world-university-rankings/pontifical-catholic-university-parana,12230.0
937,Brazil,Pontifical Catholic University of Rio Grande do Sul (PUCRS),131304,801–1000,938,25.7,791,45.4,351,25.0,849,15.6–21.4,12.6,761,22.7,670,49.0,20944,1%,23.6,"Psychology,Education,Mechanical & Aerospace Engineering,Law,Languages, Literature & Linguistics,Communication & Media Studies,Economics & Econometrics,Sport Science,Business & Management,Sociology,Geography,Mathematics & Statistics,Electrical & Electronic Engineering,Computer Science,Biological Sciences,Civil Engineering,History, Philosophy & Theology,General Engineering,Other Health,Physics & Astronomy,Art, Performing Arts & Design,Accounting & Finance,Medicine & Dentistry,Chemical Engineering,Architecture,Chemistry",/world-university-rankings/pontifical-catholic-university-rio-grande-do-sul-pucrs,10262.0
938,Chile,Pontifical Catholic University of Valparaíso,131340,801–1000,939,13.2,974,49.0,293,47.7,490,15.6–21.4,12.9,750,17.4,992,57.0,14953,1%,23.1,"Electrical & Electronic Engineering,Civil Engineering,Chemistry,History, Philosophy & Theology,Mathematics & Statistics,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Accounting & Finance,Chemical Engineering,Education,Law,General Engineering,Physics & Astronomy,Business & Management",/world-university-rankings/pontifical-catholic-university-valparaiso,8523.0
939,Thailand,Prince of Songkla University,1002,801–1000,940,20.3,859,34.0,795,32.2,735,15.6–21.4,8.1,1011,16.4,1047,30.0,42751,1%,18.3,"Economics & Econometrics,Biological Sciences,Agriculture & Forestry,Geology, Environmental, Earth & Marine Sciences,Business & Management,Education,Medicine & Dentistry,Physics & Astronomy,Law,Politics & International Studies (incl Development Studies),General Engineering,Veterinary Science,Chemical Engineering,Art, Performing Arts & Design,Computer Science,Other Health,Sociology,Architecture,Languages, Literature & Linguistics,Accounting & Finance,Chemistry,Civil Engineering,Electrical & Electronic Engineering,Mathematics & Statistics,Communication & Media Studies",/world-university-rankings/prince-songkla-university,12825.0
940,Latvia,Riga Technical University,131704,801–1000,941,14.8,948,39.0,522,32.7,728,15.6–21.4,11.3,832,18.3,938,67.0,11119,9%,27.3,"Architecture,Economics & Econometrics,Electrical & Electronic Engineering,Civil Engineering,Computer Science,General Engineering,Business & Management,Chemical Engineering,Mechanical & Aerospace Engineering,Accounting & Finance,Chemistry",/world-university-rankings/riga-technical-university,7449.0
941,Brazil,Rio de Janeiro State University (UERJ),131279,801–1000,942,12.8,981,40.4,469,19.7,977,15.6–21.4,9.9,910,21.4,732,52.0,25811,0%,9.9,"Mathematics & Statistics,Chemistry,Other Health,Geology, Environmental, Earth & Marine Sciences,General Engineering,Civil Engineering,Computer Science,Economics & Econometrics,Politics & International Studies (incl Development Studies),Business & Management,Languages, Literature & Linguistics,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Electrical & Electronic Engineering,Accounting & Finance,Education,Archaeology,Biological Sciences,Psychology,Geography,Medicine & Dentistry",/world-university-rankings/rio-de-janeiro-state-university-uerj,13421.0
942,Japan,Ritsumeikan University,131385,801–1000,943,13.9,960,32.7,915,31.8,746,15.6–21.4,9.0,962,18.6,915,65.0,35228,4%,14.5,"History, Philosophy & Theology,Education,Sport Science,Languages, Literature & Linguistics,Physics & Astronomy,Law,Politics & International Studies (incl Development Studies),Communication & Media Studies,Economics & Econometrics,Psychology,Sociology,Agriculture & Forestry,Mathematics & Statistics,Civil Engineering,General Engineering,Business & Management,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Chemistry,Computer Science,Mechanical & Aerospace Engineering,Medicine & Dentistry,Chemical Engineering",/world-university-rankings/ritsumeikan-university,22898.0
943,United Kingdom,Robert Gordon University,131467,801–1000,944,17.2,908,33.0,889,68.3,242,15.6–21.4,9.8,912,16.9,1020,40.0,9617,24%,18.3,"Sociology,Business & Management,Sport Science,Computer Science,Accounting & Finance,Other Health,Art, Performing Arts & Design,Biological Sciences,Mechanical & Aerospace Engineering,Law,Communication & Media Studies,Architecture,Electrical & Electronic Engineering",/world-university-rankings/robert-gordon-university,3846.0
944,Japan,Saga University,609459,801–1000,945,17.8,900,48.1,309,22.3,914,15.6–21.4,11.3,833,21.1,750,62.0,7015,3%,10.3,"Art, Performing Arts & Design,Business & Management,General Engineering,Economics & Econometrics,Sport Science,Education,Chemical Engineering,Other Health,Sociology,Chemistry,Biological Sciences,Agriculture & Forestry,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Medicine & Dentistry,Mathematics & Statistics,Civil Engineering,Mechanical & Aerospace Engineering,Physics & Astronomy,Accounting & Finance",/world-university-rankings/saga-university,4349.0
945,Japan,Saitama University,131763,801–1000,946,24.9,807,33.0,890,27.7,815,15.6–21.4,11.7,814,19.0,886,68.0,8808,5%,13.9,"Politics & International Studies (incl Development Studies),Biological Sciences,History, Philosophy & Theology,Economics & Econometrics,Sociology,Business & Management,Psychology,Law,General Engineering,Electrical & Electronic Engineering,Education,Art, Performing Arts & Design,Chemical Engineering,Geography,Archaeology,Accounting & Finance,Languages, Literature & Linguistics,Physics & Astronomy,Mechanical & Aerospace Engineering,Civil Engineering,Mathematics & Statistics",/world-university-rankings/saitama-university,5989.0
946,Japan,Saitama Medical University,587613,801–1000,947,18.3,890,36.3,652,14.3,1087,15.6–21.4,7.8,1028,23.7,612,47.0,1874,0%,1.5,"Other Health,Medicine & Dentistry",/world-university-rankings/saitama-medical-university,880.0
947,Chile,"University of Santiago, Chile (USACH)",131443,801–1000,948,12.1,992,32.4,957,40.9,601,15.6–21.4,10.0,904,17.4,993,60.0,23401,1%,21.0,"Communication & Media Studies,Chemistry,Sport Science,Other Health,Law,Physics & Astronomy,Politics & International Studies (incl Development Studies),Mathematics & Statistics,Geography,Agriculture & Forestry,General Engineering,Biological Sciences,Civil Engineering,Business & Management,Economics & Econometrics,Computer Science,Languages, Literature & Linguistics,Education,History, Philosophy & Theology,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Architecture,Electrical & Electronic Engineering,Accounting & Finance,Chemical Engineering,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Psychology",/world-university-rankings/university-santiago-chile-usach,14040.0
948,South Korea,Seoul National University of Science and Technology (SeoulTech),606465,801–1000,949,13.7,964,36.2,662,18.2,1018,15.6–21.4,18.9,553,25.3,537,67.0,12471,2%,16.6,"Business & Management,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,General Engineering,Architecture,Chemical Engineering,Electrical & Electronic Engineering,Civil Engineering,Languages, Literature & Linguistics,Sport Science",/world-university-rankings/seoul-national-university-science-and-technology-seoultech,8355.0
949,China,Shaanxi Normal University,589286,801–1000,950,29.5,737,36.2,663,18.2,1019,15.6–21.4,9.6,919,18.3,939,28.0,26388,3%,14.2,"Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Veterinary Science,Electrical & Electronic Engineering,Economics & Econometrics,Psychology,Computer Science,History, Philosophy & Theology,Architecture,Chemical Engineering,Politics & International Studies (incl Development Studies),Law,Civil Engineering",/world-university-rankings/shaanxi-normal-university,7388.0
950,Iran,Shahid Beheshti University,131498,801–1000,951,19.1,879,46.7,326,16.4,1052,15.6–21.4,19.8,526,21.8,713,48.0,17113,1%,22.6,"Biological Sciences,Accounting & Finance,Sport Science,Electrical & Electronic Engineering,Business & Management,Law,Languages, Literature & Linguistics,General Engineering,Physics & Astronomy,Economics & Econometrics,Mathematics & Statistics,Psychology,Chemistry,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Computer Science,Architecture",/world-university-rankings/shahid-beheshti-university,8214.0
951,United Arab Emirates,University of Sharjah,131672,801–1000,952,16.5,920,36.3,653,99.3,4,15.6–21.4,8.9,968,18.1,954,35.0,13300,61%,23.6,"Sociology,Computer Science,Physics & Astronomy,General Engineering,Politics & International Studies (incl Development Studies),Civil Engineering,Business & Management,Architecture,Art, Performing Arts & Design,Medicine & Dentistry,Education,Languages, Literature & Linguistics,Law,Chemistry,Other Health,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Communication & Media Studies,Accounting & Finance,Electrical & Electronic Engineering,Biological Sciences,Chemical Engineering",/world-university-rankings/university-sharjah,4655.0
952,United Kingdom,Sheffield Hallam University,131621,801–1000,953,24.9,808,32.1,1002,48.8,471,15.6–21.4,10.8,856,18.3,940,46.0,24627,14%,16.3,"Other Health,Agriculture & Forestry,Sport Science,Communication & Media Studies,Mathematics & Statistics,Biological Sciences,Chemistry,Geography,Physics & Astronomy,Psychology,Sociology,Computer Science,Law,Politics & International Studies (incl Development Studies),Economics & Econometrics,Business & Management,Languages, Literature & Linguistics,History, Philosophy & Theology,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Accounting & Finance,Education,Architecture,Electrical & Electronic Engineering,Chemical Engineering",/world-university-rankings/sheffield-hallam-university,11328.0
953,Japan,Shiga University of Medical Science,609363,801–1000,954,27.7,761,40.9,454,21.0,940,15.6–21.4,9.4,933,24.8,565,49.0,1134,2%,3.0,"Medicine & Dentistry,Physics & Astronomy,General Engineering,Mathematics & Statistics,Languages, Literature & Linguistics,Biological Sciences,Psychology,Chemistry,Sociology,History, Philosophy & Theology,Other Health",/world-university-rankings/shiga-university-medical-science,555.0
954,Japan,Shimane University,589307,801–1000,955,12.6,984,34.4,763,18.2,1020,15.6–21.4,10.0,905,21.8,714,63.0,6122,2%,8.0,"Medicine & Dentistry,Law,Education,Architecture,Languages, Literature & Linguistics,History, Philosophy & Theology,Archaeology,Art, Performing Arts & Design,Other Health,General Engineering,Civil Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Chemical Engineering,Computer Science,Biological Sciences,Sport Science,Agriculture & Forestry,Physics & Astronomy,Mathematics & Statistics,Chemistry,Geology, Environmental, Earth & Marine Sciences,Psychology,Geography,Sociology,Economics & Econometrics,Politics & International Studies (incl Development Studies)",/world-university-rankings/shimane-university,3856.0
955,Japan,Shinshu University,131444,801–1000,956,28.0,757,40.0,481,22.5,908,15.6–21.4,8.9,969,21.3,737,68.0,10944,2%,10.3,"General Engineering,Business & Management,Biological Sciences,Physics & Astronomy,Law,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Other Health,Mathematics & Statistics,Civil Engineering,Economics & Econometrics,Chemistry,History, Philosophy & Theology,Education,Accounting & Finance,Agriculture & Forestry,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Architecture,Medicine & Dentistry,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies)",/world-university-rankings/shinshu-university,7441.0
956,Iran,Shiraz University,589124,801–1000,957,18.4,889,45.3,354,16.6,1048,15.6–21.4,20.5,503,22.9,658,51.0,12879,1%,19.3,"Languages, Literature & Linguistics,Biological Sciences,Mechanical & Aerospace Engineering,Law,Computer Science,Economics & Econometrics,Education,Physics & Astronomy,Chemistry,Agriculture & Forestry,General Engineering,Electrical & Electronic Engineering,Mathematics & Statistics",/world-university-rankings/shiraz-university,6568.0
957,Japan,Shizuoka University,589295,801–1000,958,11.4,1004,36.1,669,24.3,866,15.6–21.4,12.5,766,19.1,879,71.0,10032,3%,14.1,"Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Computer Science,Chemical Engineering,Law,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Archaeology,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Physics & Astronomy,Agriculture & Forestry,Chemistry,Communication & Media Studies,Biological Sciences,Business & Management,Mathematics & Statistics,Sociology,General Engineering,Education,Sport Science,Accounting & Finance,Languages, Literature & Linguistics",/world-university-rankings/shizuoka-university,7122.0
958,Japan,Showa University,131411,801–1000,959,13.2,975,34.7,744,15.9,1063,15.6–21.4,8.8,978,27.1,467,42.0,3747,1%,2.4,"Other Health,Medicine & Dentistry",/world-university-rankings/showa-university,1573.0
959,Poland,University of Silesia in Katowice,131460,801–1000,960,20.4,858,31.8,1057,22.9,898,15.6–21.4,7.8,1029,18.5,922,32.0,26470,2%,14.1,"Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Education,Physics & Astronomy,Psychology,Communication & Media Studies,Sociology,Art, Performing Arts & Design,Law,General Engineering,Politics & International Studies (incl Development Studies),Computer Science,Geography,Languages, Literature & Linguistics,History, Philosophy & Theology,Chemistry,Chemical Engineering,Mathematics & Statistics",/world-university-rankings/university-silesia-katowice,8470.0
960,Venezuela,Simón Bolívar University,131346,801–1000,961,14.9,945,46.7,327,41.6,587,15.6–21.4,6.3,1088,19.0,887,56.0,9731,0%,12.1,,/world-university-rankings/simon-bolivar-university,5449.0
961,Slovakia,Slovak University of Technology in Bratislava,131818,801–1000,962,11.5,1001,34.7,745,26.5,831,15.6–21.4,13.2,737,21.6,723,67.0,15749,2%,14.8,"Mathematics & Statistics,Architecture,Civil Engineering,Mechanical & Aerospace Engineering,Computer Science,Electrical & Electronic Engineering,Art, Performing Arts & Design,Chemistry,Chemical Engineering,General Engineering,Physics & Astronomy,Economics & Econometrics,Business & Management,Biological Sciences",/world-university-rankings/slovak-university-technology-bratislava,10551.0
962,Japan,Sophia University,131287,801–1000,963,11.2,1011,32.6,930,37.1,654,15.6–21.4,10.7,864,23.6,619,46.0,12907,8%,23.6,"Mathematics & Statistics,Mechanical & Aerospace Engineering,Chemical Engineering,Languages, Literature & Linguistics,Biological Sciences,Agriculture & Forestry,Business & Management,Other Health,Electrical & Electronic Engineering,History, Philosophy & Theology,Sociology,Computer Science,Communication & Media Studies,Physics & Astronomy,Chemistry,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Law,Art, Performing Arts & Design,General Engineering,Education,Politics & International Studies (incl Development Studies),Psychology,Economics & Econometrics",/world-university-rankings/sophia-university,5937.0
963,South Africa,University of South Africa,131710,801–1000,964,13.5,969,32.3,974,37.5,648,15.6–21.4,10.8,857,18.3,941,34.0,184432,12%,89.6,"Accounting & Finance,Education,Civil Engineering,General Engineering,Geology, Environmental, Earth & Marine Sciences,Chemical Engineering,Physics & Astronomy,History, Philosophy & Theology,Art, Performing Arts & Design,Archaeology,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Economics & Econometrics,Business & Management,Communication & Media Studies,Sociology,Mechanical & Aerospace Engineering,Biological Sciences,Agriculture & Forestry,Electrical & Electronic Engineering,Psychology,Law,Mathematics & Statistics,Geography,Computer Science,Other Health,Chemistry",/world-university-rankings/university-south-africa,62706.0
964,Russian Federation,Southern Federal University,131480,801–1000,965,14.8,949,39.2,513,23.4,888,15.6–21.4,8.2,1006,22.4,684,47.0,20148,7%,7.4,"Chemical Engineering,Accounting & Finance,Chemistry,Biological Sciences,Psychology,General Engineering,Law,Languages, Literature & Linguistics,Archaeology,Geology, Environmental, Earth & Marine Sciences,Sport Science,History, Philosophy & Theology,Architecture,Business & Management,Computer Science,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Sociology,Geography,Economics & Econometrics,Civil Engineering,Education,Electrical & Electronic Engineering,Agriculture & Forestry,Communication & Media Studies,Mathematics & Statistics,Mechanical & Aerospace Engineering,Physics & Astronomy",/world-university-rankings/southern-federal-university,9469.0
965,United States,University of Southern Mississippi,131782,801–1000,966,25.1,803,48.8,295,22.4,913,15.6–21.4,9.2,949,20.4,802,36.0,13576,3%,18.2,"Law,Biological Sciences,Other Health,Psychology,Sport Science,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,General Engineering,Politics & International Studies (incl Development Studies),Architecture,Sociology,Accounting & Finance,Communication & Media Studies,Chemistry,Business & Management,Mathematics & Statistics,Geography,Languages, Literature & Linguistics,History, Philosophy & Theology,Chemical Engineering,Art, Performing Arts & Design,Electrical & Electronic Engineering,Education,Computer Science",/world-university-rankings/university-southern-mississippi,4887.0
