,name,location,2011,2012,2013,2014,2015,2016,2017,2018
187,University of Innsbruck,Austria,99.5,90.7,88.7,91.4,93.4,95.7,96.2,96.7
188,University of Tübingen,Germany,57.8,58.1,56.3,56.6,53.0,58.2,57.8,60.8
189,University of Cincinnati,United States,18.9,20.6,23.9,25.4,26.0,28.3,31.8,35.6
190,Drexel University,United States,60.6,37.8,36.6,38.2,42.2,46.3,47.8,49.4
191,Yonsei University,South Korea,28.0,23.3,33.4,35.0,35.7,41.5,48.3,
192,Dalhousie University,Canada,44.9,64.8,59.1,59.1,71.6,78.3,80.1,82.4
193,KTH Royal Institute of Technology,Sweden,64.2,82.1,86.1,86.2,84.0,84.4,83.3,83.7
194,University of Vienna,Austria,63.2,86.6,86.3,89.5,91.0,92.6,93.0,93.4
195,Kent State University,United States,15.9,26.9,,,,32.4,34.3,37.3
196,University of Illinois at Chicago,United States,51.8,27.2,29.1,43.3,53.4,58.1,57.1,56.2
197,Zhejiang University,China,29.6,13.9,20.1,21.0,21.5,19.6,22.0,25.2
198,Simon Fraser University,Canada,51.9,56.8,55.6,58.4,61.4,61.4,89.3,90.4
199,Swedish University of Agricultural Sciences,Sweden,-,43.5,46.8,45.2,49.6,40.1,46.8,42.5
